time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735484	0.629614	7.20032	-1.05672e-17	2.97079e-17	radar	74.7574	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494953	7.20338	-0.127218	-0.0118522	lidar	0.221158	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25808	0.533062	7.18871	0.122885	0.0306253	radar	1.82477	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61576	0.59537	7.20211	0.161634	0.0461737	lidar	0.167674	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85109	0.561747	6.01601	0.0249124	-0.23512	radar	7.76149	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16316	0.591052	6.01554	0.0396501	-0.179224	lidar	0.254774	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37912	0.636762	5.61883	0.054445	-0.351915	radar	6.40906	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65685	0.653637	5.61592	0.0430235	-0.328778	lidar	0.00944601	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92335	0.647004	5.552	-0.00564325	-0.486401	radar	0.466362	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15971	0.642251	5.50835	-0.0191702	-0.449901	lidar	1.21949	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44504	0.538268	5.53893	-0.167175	-0.861054	radar	1.25268	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74807	0.426305	5.60127	-0.284609	-1.07637	lidar	2.04699	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02927	0.509854	5.56153	-0.149273	-0.55864	radar	4.18497	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30344	0.501434	5.54529	-0.142491	-0.475228	lidar	0.392437	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56515	0.535003	5.47872	-0.105063	-0.345322	radar	2.22603	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75751	0.638767	5.33474	-0.00744614	-0.108546	lidar	13.3219	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01111	0.635643	5.28646	-0.0175069	-0.119821	radar	2.3208	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.3122	0.634942	5.32765	-0.0208868	-0.114564	lidar	2.25784	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56962	0.643223	5.32654	-0.0142284	-0.0922584	radar	1.65582	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86256	0.661409	5.35248	-0.00396361	-0.0677284	lidar	1.47131	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10741	0.586783	5.31558	-0.057427	-0.147357	radar	3.99337	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36509	0.700858	5.29058	0.0167067	-0.0256085	lidar	4.19893	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.61782	0.730803	5.26287	0.0299499	-0.00517743	radar	0.994273	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86654	0.731209	5.24927	0.0257106	-0.0104956	lidar	0.386846	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11463	0.713352	5.20912	0.00996286	-0.0311657	radar	3.95151	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.33922	0.797855	5.16876	0.0529057	0.0255256	lidar	3.83907	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.62516	0.809311	5.21063	0.0529838	0.0239532	radar	3.39549	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.87523	0.790551	5.20179	0.0380469	0.00494498	lidar	0.577629	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.12922	0.80704	5.17732	0.0406821	0.0072075	radar	2.91319	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.36852	0.82639	5.15876	0.0456176	0.0125512	lidar	0.761846	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.6313	0.90963	5.18202	0.0798091	0.0498536	radar	6.62905	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.86882	0.968897	5.16287	0.100016	0.0691013	lidar	1.19805	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.15308	1.00526	5.19239	0.107221	0.0727318	radar	6.37598	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.3904	1.04048	5.17324	0.114473	0.0767365	lidar	0.933864	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.66494	1.10758	5.19726	0.133435	0.092013	radar	4.50479	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.93349	1.23128	5.21317	0.17436	0.128606	lidar	3.53861	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1874	1.31296	5.19799	0.195986	0.144423	radar	4.91857	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4153	1.39608	5.17622	0.217081	0.15863	lidar	1.68736	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6563	1.47428	5.14528	0.235323	0.17023	radar	4.85534	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8855	1.51533	5.12387	0.237138	0.164036	lidar	1.42852	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1477	1.56515	5.13634	0.240036	0.158481	radar	1.41659	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4213	1.61876	5.15751	0.2432	0.153373	lidar	1.40398	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6576	1.67593	5.1346	0.250111	0.15347	radar	1.23097	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
